0,672.207341
1,672.409414
2,672.567998
3,672.794532
4,672.994020
5,673.081794
6,673.144557
7,673.194024
8,673.235387
9,673.271359
10,673.303522
11,673.332882
12,673.360134
13,673.385783
14,673.410215
15,673.433736
16,673.456595
17,673.479000
18,673.501132
19,673.523145
20,673.545181
21,673.567365
22,673.589811
23,673.612620
24,673.635879
25,673.659652
26,673.683972
27,673.708813
28,673.734047
29,673.759339
30,673.783931
31,673.806109
32,673.821864
33,673.820222
34,673.706948
35,673.614408
36,673.612455
37,673.622870
38,673.635655
39,673.647426
40,673.656701
41,673.662777
42,673.665291
43,673.664039
44,673.658891
45,673.649761
46,673.636580
47,673.619303
48,673.597904
49,673.572402
50,673.542883
51,673.509567
52,673.472922
53,673.433869
54,673.394075
55,673.356076
56,673.322580
57,673.295760
58,673.277439
59,673.269584
60,673.274916
61,673.297875
62,673.346504
63,673.432971
64,671.998586
65,672.201344
66,672.383839
67,672.642143
68,672.872717
69,672.985997
70,673.069828
71,673.137133
72,673.194054
73,673.243928
74,673.288751
75,673.329822
76,673.368049
77,673.404105
78,673.438506
79,673.471666
80,673.503926
81,673.535570
82,673.566846
83,673.597973
84,673.629144
85,673.660537
86,673.692315
87,673.724623
88,673.757590
89,673.791319
90,673.825875
91,673.861257
92,673.897347
93,673.933796
94,673.969778
95,674.003392
96,674.030174
97,674.038157
98,673.932096
99,673.846878
100,673.853252
101,673.871850
102,673.891890
103,673.909600
104,673.923324
105,673.932270
106,673.936030
107,673.934366
108,673.927125
109,673.914190
110,673.895467
111,673.870872
112,673.840338
113,673.803824
114,673.761332
115,673.712962
116,673.659047
117,673.600514
118,673.539682
119,673.481222
120,673.430078
121,673.389233
122,673.360706
123,673.346550
124,673.349560
125,673.373946
126,673.426073
127,673.511565
128,671.863931
129,672.049712
130,672.236185
131,672.509175
132,672.757937
133,672.889117
134,672.989604
135,673.072132
136,673.143006
137,673.205773
138,673.262617
139,673.314999
140,673.363964
141,673.410299
142,673.454622
143,673.497430
144,673.539141
145,673.580107
146,673.620637
147,673.661005
148,673.701458
149,673.742225
150,673.783518
151,673.825532
152,673.868446
153,673.912413
154,673.957557
155,674.003942
156,674.051536
157,674.100121
158,674.149094
159,674.196967
160,674.240004
161,674.267161
162,674.183873
163,674.120261
164,674.143420
165,674.174677
166,674.204357
167,674.229324
168,674.248253
169,674.260516
170,674.265779
171,674.263834
172,674.254533
173,674.237746
174,674.213344
175,674.181192
176,674.141135
177,674.092983
178,674.036475
179,673.971228
180,673.896737
181,673.812772
182,673.721246
183,673.632395
184,673.557016
185,673.497850
186,673.455761
187,673.431855
188,673.428098
189,673.447502
190,673.494002
191,673.568859
192,671.774804
193,671.941848
194,672.123517
195,672.401165
196,672.659479
197,672.802252
198,672.914967
199,673.009627
200,673.092260
201,673.166322
202,673.233996
203,673.296782
204,673.355779
205,673.411833
206,673.465623
207,673.517706
208,673.568553
209,673.618569
210,673.668114
211,673.717510
212,673.767053
213,673.817020
214,673.867669
215,673.919248
216,673.971991
217,674.026116
218,674.081824
219,674.139282
220,674.198616
221,674.259882
222,674.323007
223,674.387631
224,674.452484
225,674.511583
226,674.485101
227,674.473803
228,674.525104
229,674.573921
230,674.615541
231,674.648934
232,674.673710
233,674.689664
234,674.696659
235,674.694582
236,674.683318
237,674.662735
238,674.632674
239,674.592926
240,674.543208
241,674.483085
242,674.411812
243,674.327982
244,674.228850
245,674.109321
246,673.957748
247,673.808721
248,673.698279
249,673.615791
250,673.556970
251,673.520355
252,673.506335
253,673.516434
254,673.552644
255,673.614172
256,671.712847
257,671.863640
258,672.037806
259,672.315213
260,672.578012
261,672.728028
